"","Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"793","CXCL9",2.17512984999017,8.2448392722992,12.0380004611093,6.17179826954772e-32,5.14394081975593e-31,61.1380221624522
"794","PDE5A",-1.16785895942095,8.0100554153047,-12.0229608531431,7.28796052364254e-32,6.06278785612144e-31,60.9729958679322
"795","CYBRD1",-1.44172083087812,9.8312631932363,-12.0201582334118,7.51711620950786e-32,6.23874787805519e-31,60.9422621547855
"796","FOLR2",-1.07043585127956,6.78891316302147,-11.9679423980165,1.33685728267278e-31,1.10278255136897e-30,60.370741904275
"797","PLS3",-1.02641800063071,7.6020319008877,-11.9425650598078,1.76719272511225e-31,1.44831188768931e-30,60.0937208121784
"798","TUBB3",1.58248402119862,7.80891133094466,11.9340176856187,1.94114477918717e-31,1.5871977145032e-30,60.0005264774733
"799","GPRC5A",1.02012506326184,6.75770560521438,11.9288331623375,2.05484168646782e-31,1.67938678682393e-30,59.944025117182
"800","C2orf82",-1.51697202878234,6.64161279469959,-11.9269943309718,2.09673738538951e-31,1.71283590752882e-30,59.9239902630693
"801","APOD",-2.37113098676994,11.2522408845062,-11.907454853741,2.59788749096304e-31,2.10956098095373e-30,59.7112572422802
"802","USP49",-1.03767155139607,9.7718506893049,-11.880151433492,3.5032559871177e-31,2.82786788626945e-30,59.4144794398875
"803","EPSTI1",1.27231650020392,8.33992470304592,11.772134227125,1.13710742536135e-30,9.03048133136091e-30,58.2459174639305
"804","PKIB",1.61101927936542,8.56927160598952,11.7430993046747,1.55809950060625e-30,1.230752468411e-29,57.9333222154593
"805","TPD52",1.15670091207317,8.60595492334344,11.7301370560218,1.79298061924787e-30,1.41376082175737e-29,57.7939757628202
"806","SEPP1",-1.52697063457592,9.0804886499217,-11.6915386536234,2.72165767857314e-30,2.12799459342372e-29,57.3797955591681
"807","SLC7A5",1.59991792580413,8.26044891145249,11.6702573857169,3.42421275286196e-30,2.66786901969677e-29,57.1519236830221
"808","SPDEF",1.72791668414463,9.52770303330818,11.6482889144954,4.33862322094172e-30,3.36105520304754e-29,56.9170568953291
"809","DHCR7",1.10380333766001,8.05747306333793,11.6209044247031,5.82454739041359e-30,4.49249651752528e-29,56.6248044691352
"810","MMP9",1.886925065652,8.98949770121945,11.6192269386891,5.93047550265824e-30,4.57220530688812e-29,56.6069207034233
"811","DEFB1",-1.72240824753358,6.81148591259884,-11.5822264226279,8.82067397878132e-30,6.75043011634472e-29,56.213005197278
"812","RGS5",-1.09491832211063,7.83835278661013,-11.5101900190916,1.90490434336323e-29,1.44468860277539e-28,55.449107820335
"813","NFE2L3",1.03434749297945,7.2499812049169,11.5094800659204,1.91937578051461e-29,1.45441645476355e-28,55.441599122171
"814","WISP2",-1.31491043827016,7.14212119686456,-11.4962037996054,2.21102555028646e-29,1.6711195676225e-28,55.3012565146119
"815","KRT15",-2.28541442116442,7.98063634987639,-11.4608067591806,3.22182495204482e-29,2.41650534783141e-28,54.9277409154825
"816","CCL21",-1.41466593930127,6.81317089141149,-11.4566884031375,3.36588042783125e-29,2.52241361214507e-28,54.88434612486
"817","C15orf48",1.59246776135196,8.80971338260968,11.4345857477513,4.25554613867072e-29,3.17166409644038e-28,54.6516760655805
"818","EYA2",-1.17489615693288,7.11965332382898,-11.4132801095674,5.33316719905439e-29,3.96312584380151e-28,54.4277535333476
"819","FMOD",-1.05339451090594,7.59306854139199,-11.3635823926002,9.01701929179331e-29,6.63373557382099e-28,53.906795772209
"820","C3",-1.30400544342747,8.2023527008875,-11.3479918534142,1.06277902958167e-28,7.79929872082217e-28,53.7437619961943
"821","RPL39L",1.11707796191907,8.45331405833019,11.3350082353261,1.21849979618272e-28,8.91617186399982e-28,53.6081333351812
"822","CTHRC1",1.42387334637609,7.86336219386059,11.3348977884962,1.21991722692244e-28,8.92285197491743e-28,53.6069801537923
"823","ANG",-1.31956442526825,8.33798977174065,-11.3293900334901,1.29271765459435e-28,9.44752249551888e-28,53.549485397885
