name,logFC,AveExpr,t,P.Value,adj.P.Val,B
WFIKKN2,0.22375463904366777,0.6106929339980225,19.698186229004044,2.6504839570674946e-78,1.4425445215332807e-76,166.32850200026184
OXT,0.2117138476188527,0.7385900882352869,19.688402862342382,3.106076786952238e-78,1.683742104671069e-76,166.17021716721572
TEK,0.2078290441437826,0.4271717011719567,19.685479405879004,3.2568121263913933e-78,1.7584190413090105e-76,166.12292844451238
WBSCR17,0.29777975296464687,0.30737824087812693,19.654948084905246,5.340848891815613e-78,2.8608373194421026e-76,165.62933516988596
HMX2,0.20683101948559032,0.23847853392029264,19.654665970404867,5.36530294487286e-78,2.862621476729015e-76,165.62477658342414
LRP4,0.20413413454169602,0.4088255158444418,19.652650801219206,5.543260795004229e-78,2.945971384074405e-76,165.59221541589727
LINC00606,0.21835526782260115,0.6009934435620573,19.648714560382945,5.908034849378367e-78,3.1275659483896734e-76,165.52861970913213
KIAA1549L,-0.27860856042664034,0.6440778097398501,-19.63128132327302,7.833981528133673e-78,4.099077902288322e-76,165.24705896298738
SOGA3,0.22092245818403197,0.26615973404090615,19.625639595984516,8.58269677258331e-78,4.456425542607242e-76,165.15597502413684
LOC284930,-0.20061670327089023,0.5620983368494162,-19.59130161590876,1.4953406942005306e-77,7.734678277788393e-76,164.6019629944229
EDN3,0.30525996872920114,0.3123265723055345,19.580356833734978,1.7845800837996892e-77,9.19567653827125e-76,164.42551046345918
INA,0.2489184336856381,0.26985432488587074,19.57973146872118,1.8026988831660714e-77,9.253854266919167e-76,164.4154302082665
JAK3,0.23039300891405634,0.3434339785422484,19.521578772154722,4.607775931808103e-77,2.356399223692959e-75,163.4789767987563
VSTM2B,0.2585672803119568,0.2555692679177188,19.499540002775987,6.5727716331148824e-77,3.348654179397477e-75,163.12454982354376
HOXA5,0.2575581869372973,0.5107979613419172,19.46696509846813,1.110571793080631e-76,5.609848076696994e-75,162.6011563479302
FOXA2,0.23922555654707345,0.2556151754600957,19.466800081561445,1.1135250388366966e-76,5.609848076696994e-75,162.5985064033531
TBX20,0.23595587309586105,0.29474924330725605,19.441950310502065,1.66077170559138e-76,8.335843760805325e-75,162.1996197541682
CDO1,0.2571966545925417,0.26165144611296,19.42175875813698,2.2975793616023082e-76,1.1489592438536708e-74,161.8757503112955
SPAG6,0.24396352555612538,0.32596639825092044,19.36892578848373,5.3660995533685855e-76,2.654065005374127e-74,161.0293540150854
MIR3150B,0.3457205827649792,0.44632225055805164,19.361514641091613,6.043416404228692e-76,2.9781956040038993e-74,160.9107458912351
MSC-AS1,0.26044201279416396,0.2571354154871153,19.33269620880194,9.591828068175624e-76,4.70972659347522e-74,160.44981674724926
CYYR1,0.22470043547988433,0.2400058265328873,19.324467873442277,1.0943273052091788e-75,5.35390745133386e-74,160.31829298340932
MIR129-2,0.2762810380668425,0.28345735559226676,19.30283199239202,1.5473770424199867e-75,7.516148271998444e-74,159.97263426603328
LOC388692,0.2787647762477855,0.31474524369020856,19.29089265168445,1.8731460887224474e-75,9.066027069416645e-74,159.78199763440193
HOXA9,0.25800108910645175,0.2865890373000009,19.288042708979738,1.9605283632218794e-75,9.455188746755483e-74,159.73650372611672
NPHS2,0.2885543770335563,0.3350661880977201,19.277188874104063,2.3322144407699374e-75,1.1207861738054678e-73,159.56328320097163
SSTR4,0.2269585608395388,0.42023214856633845,19.27051189137537,2.5949915496825533e-75,1.2426616777843802e-73,159.4567543786736
ACTN2,0.3359916337710482,0.3860649878657461,19.24529951873712,3.882629678228176e-75,1.8333587944023778e-73,159.05471820053563
SOX17,0.2169445426305627,0.26413825499438,19.23773118665077,4.381531853398428e-75,2.0617541554602602e-73,158.93410100449543
